,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
0,18.5802470244,18.2824826041,17.967653389,17.8090694352,17.6301813911,18.1454942897,18.4750323028,18.6722635051,17.833640328,17.7630872517,17.6039243787,17.6632900951,17.8800102727,18.2680630896,18.4894310646,18.494573876,18.5797902792,18.7214507548,18.7544847282,18.8557588506,0.1
1,22.2555899028,21.7561234054,21.4902006746,21.142192968,20.9773997019,20.8822164875,21.3453748759,21.6274007274,21.1816609787,21.1027075374,21.0146282587,20.9563568236,20.7880913142,20.967868992,21.2264882421,21.5098049966,21.5390802842,21.7076007568,21.697522245,21.6508655819,0.414285714286
2,24.2158273143,23.4022379962,22.9734408521,22.6605993831,22.3594791728,22.1280792183,22.1992492454,22.6395639125,22.7563434341,22.5352711965,22.4020563898,22.3349774362,22.2605458384,22.0476982784,22.1383782481,22.223092165,22.4637600657,22.7633119346,22.7115368778,22.7145472679,0.728571428571
3,26.0001953253,24.5660481429,24.0599020979,23.6222308084,23.2828381521,23.0507477675,22.8631746761,23.0724903068,23.6559615918,23.5554541476,23.3916142389,23.208079193,23.1157358575,23.0143062654,22.8581770813,22.8431602039,22.9639076087,23.007560187,23.1144008367,23.21457704,1.04285714286
4,27.2769334699,25.8229691908,24.8760615292,24.3587340646,24.0436752001,23.6821443098,23.5211424167,23.4499016858,24.5099285323,24.2172742691,24.133526975,23.9870711426,23.7291548946,23.6324963316,23.593863397,23.5074823244,23.3858304494,23.445295586,23.5138781545,23.5475829483,1.35714285714
5,28.4579773231,27.0183069975,25.65418223,25.044144248,24.6036271045,24.1961397368,24.0472086272,23.8660034876,25.1722988182,24.897268473,24.6520808543,24.5524701701,24.2956581809,24.1394113191,24.0671305004,24.0296752424,23.942778237,23.8772822966,23.7844408374,23.8488540133,1.67142857143
6,29.1495958186,27.9142656516,26.5453507483,25.5737254851,25.0713080317,24.6628329803,24.4431110289,24.2973627736,25.675118259,25.4437946215,25.1763958803,25.0438958475,24.8219889825,24.5372757704,24.479282138,24.4354554747,24.3711189789,24.3749978713,24.2486941719,24.2105796691,1.98571428571
7,29.5511515455,28.7730116414,27.4715084062,26.0731968631,25.4879906881,25.0890019015,24.7857806015,24.6618499614,26.2889766452,25.8759307997,25.6749265162,25.3547454662,25.2108640116,24.9860308646,24.81728723,24.7726531492,24.7018181769,24.6557932763,24.6549709383,24.6387394017,2.3
8,30.0033233124,29.4844097859,28.1865692283,26.6663465864,25.9365693396,25.449398641,25.1115261036,24.9483828607,27.0396226933,26.3384006686,26.0698685904,25.8397036881,25.5751014277,25.3577213273,25.182803918,25.0610852635,25.0001384867,24.974390181,24.9024783585,24.8925076387,2.61428571429
9,30.5903710382,29.9034896465,28.8140541808,27.3317680738,26.2919175904,25.7272053867,25.4336843497,25.2057887154,27.8641679035,26.8511149382,26.420299935,26.2206330959,25.793798904,25.6616123558,25.5280846201,25.3999951846,25.247459868,25.2264415739,25.1839772081,25.1671218229,2.92857142857
