,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
0,13.2516091062,,,,,,,,,,,,,,,,,,,,0.1
1,16.8736367052,16.4213766187,,,,,,,,,,,,,,,,,,,0.414285714286
2,18.3775531841,18.0949424089,17.6319190889,,,,,,,,,,,,,,,,,,0.728571428571
3,19.1614190315,19.0550510677,18.8099705234,18.2783013185,,,,,18.2365942002,,,,,,,,,,,,1.04285714286
4,19.711695184,19.7344781936,19.4821073041,19.0225961674,,,,,19.2984550782,18.8231029819,,,,,,,,,,,1.35714285714
5,20.2009383725,20.1400982032,20.0916933075,19.7981269568,19.2715890877,,,,19.8668522029,19.6647083583,19.246038548,19.2572191608,,,,,,,,,1.67142857143
6,20.6998617931,20.4631813756,20.4999711232,20.2260728049,19.7268043212,,,,20.2564770088,20.2051163316,19.8511689856,19.745826792,,,,,,,,,1.98571428571
7,21.0411888969,20.7909710292,20.7611546746,20.6023359393,20.1650135979,,,,20.744508649,20.475779328,20.4451325482,19.9366002363,19.9303263996,,,,,,,,2.3
8,21.3206703693,21.1373702137,20.9824697835,20.98219766,20.6614055988,,,,21.0357187793,20.8853616508,20.6979075026,20.6348258352,20.285861515,,,,,,,,2.61428571429
9,21.5303069901,21.4435699197,21.2134366908,21.2305632264,20.9535978159,20.3841224226,,,21.2018717619,21.2305697308,20.9910059691,20.9585728112,20.3748179783,20.373763641,,,,,,,2.92857142857
10,21.7597429485,21.6703052136,21.4235733589,21.3888026077,21.2091034913,20.6790727666,,,21.3701943973,21.4213573844,21.3387734131,21.1019995317,20.9817810842,20.6567670843,,,,,,,3.24285714286
11,21.9629426718,21.8661204919,21.6605226377,21.5585535783,21.4740085319,20.9512492583,,,21.5751745734,21.5487970411,21.5954852302,21.4243336646,21.2835395595,20.6729507766,20.7724116324,,,,,,3.55714285714
12,22.1668660192,22.0322848797,21.908462193,21.6774066805,21.6943574422,21.3231833034,20.8261351604,,21.6504485951,21.6781528119,21.7273131017,21.6686017006,21.4234879708,21.1895663683,20.8007707423,20.9050552822,,,,,3.87142857143
13,22.2857416085,22.1308658822,22.1076614407,21.8420943553,21.8567246518,21.5244820421,21.0399776824,,21.8304640324,21.849701259,21.8304937434,21.883743817,21.5456925293,21.4750360324,20.9869061448,21.0613843786,20.9426381332,,,,4.18571428571
14,22.5103266557,22.3205682222,22.2456007317,21.9868241267,21.9641137571,21.7120141763,21.2472728974,,22.0704233624,21.9496713361,21.9407794285,21.9818774686,21.8378219881,21.6857151056,21.4702879578,21.0673777273,21.165833992,21.0948111939,,,4.5
15,22.7596087419,22.4629044469,22.3860464552,22.1354745704,22.0740995247,21.8709748357,21.4486070324,,22.2266115077,22.0350801956,22.0808551878,22.0669391042,22.0353373564,21.7718253013,21.7125279379,21.4356915453,21.3115487449,21.2897556029,,,4.81428571429
16,22.9852406678,22.6094746372,22.4991037373,22.3479325354,22.1790584326,22.0348932388,21.7735969565,21.3094595807,22.4356521618,22.2298800765,22.1680632203,22.1604382455,22.23164707,21.8966641804,21.8956750985,21.7708060465,21.2800933221,21.4753242553,,21.3028837574,5.12857142857
17,23.4747610598,22.7272834206,22.5974379074,22.4929293132,22.2480285787,22.2027932645,21.9356122296,21.4807071488,22.5955995774,22.3878470208,22.2482641454,22.2620921167,22.3096691879,22.0825359826,21.9923820227,21.9564959065,21.4698725782,21.1650923607,,21.4658320984,5.44285714286
18,23.8340469781,22.8096660591,22.6841520275,22.6373836253,22.3616407713,22.3440459962,22.0724681131,21.6433231506,22.7029856051,22.5210257139,22.3629573855,22.3825079793,22.3757944718,22.2718938652,22.0752806724,22.1076296397,21.9147775126,21.7703969339,21.6657644333,21.6393737291,5.75714285714
19,24.1393751334,22.9736034682,22.8272574237,22.7302524445,22.4712481552,22.4515322482,22.1983605824,21.8045881084,22.7133068966,22.6978978084,22.5327839582,22.4504385848,22.4413044224,22.4365794918,22.2011606763,22.1362768811,22.0921689384,21.9974563622,21.3171182562,21.603078068,6.07142857143
20,24.5094377388,23.1707025059,22.9205407333,22.831119698,22.5658619431,22.5460342509,22.3090710086,21.948622633,22.7974386671,22.8420478541,22.6588529782,22.4736771554,22.5070744184,22.5747001343,22.4018523385,22.2456741907,22.2398475424,22.1500287598,21.9977711823,21.4929745947,6.38571428571
21,,23.3249095843,23.0227481431,22.9169201241,22.6728713371,22.6112652515,22.4354835558,22.1859115431,22.9101974477,22.9418165065,22.7829902118,22.5918369554,22.583912415,22.6400588236,22.5450062675,22.3772255926,22.3442626351,22.3356810176,22.153821688,22.0904923861,6.7
22,,23.4975276436,23.1298052536,23.0027489415,22.8244480313,22.6819141437,22.5659099333,22.3259122799,23.0772529584,22.9966896735,22.9253751959,22.7741409254,22.7024546076,22.6931825801,22.6773010683,22.5577661447,22.3565062137,22.4071426385,22.297993518,22.2300092364,7.01428571429
23,,23.9345582515,23.1717940211,23.0756909904,22.94509234,22.7480987027,22.7079433459,22.4369044702,23.1374079415,23.0057970009,23.0409585141,22.860593212,22.7888877152,22.7403574815,22.7912155043,22.6879117126,22.4668091049,22.4869061493,22.4729002828,22.3809561949,7.32857142857
24,,24.220591488,23.2771425897,23.1114457006,23.0422104944,22.795126229,22.7967949274,22.5430175025,23.1015521486,23.0779870657,23.1450341242,22.9577524973,22.7401324933,22.8000615449,22.8437504186,22.8083893411,22.5766734981,22.4138309009,22.5385505033,22.5377618197,7.64285714286
25,,24.4221201493,23.4050919861,23.2099836566,23.1436659406,22.8510245212,22.8798135957,22.6350811821,23.162521981,23.1872479695,23.1920564834,23.0879592569,22.7885478704,22.8475740362,22.8899785235,22.9190930306,22.742229789,22.603101613,22.6421375098,22.6037566455,7.95714285714
26,,24.66422737,23.5429776516,23.2999202519,23.2087392702,22.9264911476,22.951369469,22.7279056963,23.2790032471,23.3304314205,23.201116258,23.2138873663,22.9702889023,22.9272833786,22.9305405805,22.9666578801,22.8555086888,22.7885460114,22.5995554206,22.6834293035,8.27142857143
27,,24.9605733649,23.6496699659,23.3706038861,23.2771902855,22.9969553749,23.0006756813,22.8247522181,23.4498392435,23.38189075,23.2725774666,23.3109001991,23.0963038571,23.0013995054,22.9806971605,23.0080822176,22.9700864342,22.8686200091,22.6599591674,22.6509483675,8.58571428571
28,,,23.7636118639,23.4457148284,23.3494213186,23.0683989472,23.0439559781,22.9125814626,23.603183772,23.3982478784,23.3346341471,23.3778786777,23.1487337271,23.0689139742,23.0231806871,23.0495641222,23.0724800592,22.9815413777,22.9029237176,22.7193270678,8.9
29,,,23.9012375842,23.5290758483,23.4088609016,23.1356824761,23.0921057597,23.0112296928,23.6667234929,23.3616185024,23.4169821025,23.4307564095,23.2269271595,23.0604198222,23.0764128226,23.0883947162,23.139188431,23.1279404189,22.9673187272,22.9209029351,9.21428571429
30,,,24.2248130623,23.6098487798,23.4687199965,23.199776015,23.1461162964,23.1124293835,23.7331997938,23.4528563213,23.5302909537,23.4125811086,23.3186875337,23.0935902232,23.1526831377,23.1317509451,23.1774726856,23.1959538561,23.0375604698,23.0177642906,9.52857142857
31,,,24.5451667884,23.6671037749,23.5234683096,23.2767249738,23.1959847438,23.1771072847,23.6365169064,23.5536870918,23.5845842489,23.4480100738,23.4350050181,23.166210104,23.2093372251,23.1687132646,23.2115183396,23.2415561447,23.1515759877,23.0787956635,9.84285714286
32,,,24.6989901098,23.6711763675,23.5707960794,23.3650367244,23.2314138963,23.2402469206,23.5397339976,23.7203195488,23.5634182182,23.5035227662,23.5447880117,23.2484722546,23.2595699875,23.2304364815,23.2455409179,23.263444597,23.2822504268,23.1928240525,10.1571428571
33,,,24.8630979817,23.751656167,23.5779572278,23.4684709983,23.2594247168,23.2907754611,23.6550126691,23.8418784066,23.5853703281,23.587644109,23.6217067065,23.3772552552,23.2470127111,23.2950130729,23.2778078678,23.2972664721,23.3336070196,23.313657772,10.4714285714
34,,,25.0437992246,23.8452188245,23.65586133,23.537626187,23.3139713495,23.3442297886,23.8057087303,23.9005763329,23.6520121597,23.7169882629,23.6560279685,23.4399798357,23.2818320832,23.3486138287,23.3170047226,23.3377738965,23.3732714608,23.3809707203,10.7857142857
35,,,25.2529323448,23.9628256499,23.7318825299,23.6037301382,23.3678957005,23.3780866506,24.1859152638,23.9545051142,23.7339067447,23.7710280488,23.7029681131,23.4985154923,23.3451506557,23.3893226898,23.3480739566,23.365724045,23.3939854032,23.4192436515,11.1
36,,,25.5362111667,24.0602529886,23.7902040461,23.6680222885,23.4223669382,23.4139887025,24.6261453539,23.9640566537,23.7899156665,23.803469542,23.7508052816,23.5645753934,23.4086327693,23.3729244473,23.3921132707,23.389742229,23.4227433783,23.4453934397,11.4142857143
37,,,,24.1531314014,23.8356986743,23.7112769246,23.4737124669,23.4530530587,24.7270012275,23.7878009822,23.9317504582,23.8184116208,23.7074025674,23.6513800853,23.5187171082,23.3985201917,23.4542289136,23.4296150085,23.4574264786,23.4630591847,11.7285714286
38,,,,24.2326192574,23.8940008051,23.7593670403,23.5185928624,23.493062348,24.7361890903,23.7943561799,24.0525656592,23.7499182445,23.7044423701,23.7401848982,23.5943536925,23.4576702805,23.5022237625,23.4644055414,23.4897432458,23.4939793397,12.0428571429
39,,,,24.356872079,23.9502271979,23.8140437397,23.5675728235,23.5289127873,24.8291841393,23.8961982729,24.1084442106,23.7999307787,23.7535266215,23.8151104752,23.6450070064,23.5147383981,23.5492992381,23.5023530615,23.505840259,23.5323100312,12.3571428571
40,,,,24.59128441,24.0115085142,23.866983986,23.6215264107,23.562499599,24.8979077064,24.0377533733,24.1342676704,23.8803861737,23.8932351988,23.8785641174,23.6975783331,23.6218807626,23.5708926386,23.5802496346,23.5415303261,23.5507205946,12.6714285714
41,,,,24.8869283997,24.0621399808,23.9123015007,23.6857797865,23.5752629148,25.0300371268,24.3374471865,24.0799583831,23.9641503655,23.9851681177,23.9290271683,23.7619753621,23.7002040004,23.5545766055,23.6503821376,23.5803196637,23.5774346187,12.9857142857
42,,,,25.0187362161,24.0727746744,23.9537997553,23.773546305,23.6072405172,25.2207882285,24.7868645889,23.9949818996,24.1051262256,24.0395943455,23.9691597625,23.8394704715,23.7446649864,23.5811755666,23.6719062007,23.6014468308,23.6098047115,13.3
43,,,,25.1223245599,24.0900408286,23.9906916903,23.8437076193,23.6506913625,25.4454415428,24.9355142067,24.0389896007,24.2065012891,24.0695020775,23.9980336702,23.9164486424,23.7917915483,23.6331088138,23.6719090715,23.6519568424,23.6415674313,13.6142857143
44,,,,25.2473559112,24.1488345066,24.0246624023,23.8974271692,23.6937683492,25.6784231806,24.9565763492,24.1226228396,24.2620429428,24.0916035626,23.9819820869,23.982585935,23.8433276478,23.6821049122,23.6032570438,23.7341986656,23.6742211364,13.9285714286
45,,,,25.3859960897,24.215530361,24.0615792856,23.9465184073,23.7341252547,25.9903062106,24.9885849058,24.2189583822,24.2996895258,24.1102984465,23.9913450751,24.0381090013,23.90958455,23.7511767241,23.6031474797,23.7862661082,23.7349317786,14.2428571429
46,,,,25.5365148139,24.2828227543,24.0793531756,23.9988581378,23.7749267216,26.3245812966,25.0631919811,24.3190357175,24.3463796258,24.0530231898,24.0227074182,24.0868176358,23.9822468964,23.8442695468,23.6817490983,23.7958492461,23.8029597854,14.5571428571
47,,,,25.7196660007,24.3590653854,24.086503446,24.0518269211,23.81680997,26.7621401454,25.1254412242,24.5009781598,24.3862414526,24.0083250883,24.0577284288,24.1261080942,24.0525207104,23.8974594321,23.8556185819,23.7949369057,23.8358606465,14.8714285714
48,,,,,24.4463726147,24.1213019723,24.1000653665,23.8562186301,,25.2385777099,24.8323429618,24.2870100558,24.0558945637,24.0950269114,24.1576229346,24.1112511057,23.9361159482,23.9278178974,23.7331540286,23.8523177253,15.1857142857
49,,,,,24.5150258083,24.1796741902,24.1288647908,23.8941467865,,25.3823192523,25.0617045197,24.1364531336,24.1352614803,24.1641577419,24.1644608686,24.16344206,23.9783070477,23.9554564651,23.7086428356,23.8304334161,15.5
