,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
0,18.8909226558,19.523805988,20.2069842256,20.9230105796,21.1213852889,21.2020487454,21.5957704954,21.9746997413,20.7131480273,21.2231366762,21.2025769952,21.074913321,21.7050717818,21.3279056364,21.5092288974,21.6367295943,21.8385197797,21.9269840381,22.0715202482,22.1333614968,0.1
1,21.9726913474,22.1105406435,22.6984813186,23.4654327636,24.1998367761,24.3742704202,24.3900663726,24.7371207192,23.2808931332,23.6718028771,23.9683169344,24.4184549463,24.2119641515,24.5855484031,24.3115953754,24.4261643549,24.6103597317,24.691862485,24.826290642,24.8841637029,0.414285714286
2,23.2718838983,23.24852131,23.5080325213,24.03236351,24.9522388251,25.6514058179,25.7508396426,25.6857977257,23.9558945511,24.2875426957,24.8056462035,25.0550382342,25.649535468,25.5305495039,25.5875144289,25.8112375262,25.5689687832,25.6431873487,25.7670403898,25.8207678704,0.728571428571
3,24.822534929,23.9264100451,24.048042497,24.5901677853,25.1582751737,26.1501234432,26.3820814991,26.2266741332,24.3812385092,24.7958083912,24.8265045532,25.4949309796,25.8629923784,26.4434497271,26.5064639719,26.2700669466,26.449726457,26.5804487921,26.2997372138,26.8768243404,1.04285714286
4,26.3740352708,24.7072256285,24.5802343773,24.7109481833,25.3531848957,26.3406417226,26.9987296487,26.9241661019,24.6173102086,24.9679122881,25.3659271454,25.3084897619,26.2045129405,26.502946955,26.9139185701,27.116626639,26.8759056265,26.7898800644,26.9769118058,27.0725753314,1.35714285714
5,28.3579796031,25.8166952319,24.9179914019,25.0215247426,25.61248824,26.3949795315,27.0757955746,27.397007021,25.033292776,25.0533498229,25.3654698401,25.7881214931,26.0312557016,26.6577908449,26.9007391957,27.1588825256,27.5254475308,27.6368593864,27.2657477162,27.2188104031,1.67142857143
6,30.5590476659,26.9352442408,25.4564842246,25.3338742261,25.6146802861,26.3329745076,27.1191208909,27.7167848998,25.2992669221,25.3348440203,25.3923607771,25.8153621318,26.0552043445,26.7148710078,27.003746247,27.1602420349,27.5273780993,27.733760795,27.8963055241,27.9515760341,1.98571428571
7,31.4988079906,28.2048072854,26.289799889,25.5695017949,25.6758752428,26.4108152085,27.1635287838,27.7217263135,25.509061379,25.6748317898,25.5985889051,25.7731832931,26.4070211653,26.4706716982,27.057272164,27.2629388846,27.4826913285,27.6039339172,27.9427574541,28.0568935197,2.3
8,33.8648939273,30.1101393692,27.0085613457,25.8269856682,25.8907138692,26.5029258432,27.0573693277,27.70412739,25.9637577421,25.7836169696,25.9296193768,25.790892117,26.2917551155,26.5636238502,26.8399233382,27.2315613919,27.5283951923,27.6597168693,27.7957506211,27.9503958515,2.61428571429
9,35.0352921208,31.4058070882,27.9050970971,26.1980514326,26.0569315114,26.4937031957,26.9758690776,27.7322962365,26.5552931469,25.9265429585,26.0467954064,26.0693345805,26.1529753407,26.808252442,26.7933488531,27.0131668995,27.5872758439,27.6856034751,27.8611681823,27.9180725546,2.92857142857
10,36.1967244381,32.0790293184,28.9135871442,26.8185278905,26.2178142485,26.4721568172,27.0230667625,27.6737870047,27.2504394769,26.4319680301,26.1123616393,26.3164060713,26.2187829716,26.7658841836,27.0456109691,26.9660987865,27.3960070942,27.6555356791,27.8613732476,27.9033978173,3.24285714286
11,37.3515446082,32.6087360359,30.4613405667,27.2953526351,26.3165906995,26.4985956733,27.1011871287,27.5363742995,27.7702536904,26.8964235374,26.3404848657,26.3216955409,26.442854707,26.5667515777,27.1034745294,27.1976008317,27.1873898047,27.4659093056,27.8825710364,28.0519983054,3.55714285714
12,38.5013590717,34.9973731315,31.6540908801,27.9983896823,26.5669259574,26.5801169486,27.1037634479,27.4963787436,28.5501135051,27.4846414349,26.758767007,26.465759534,26.5537191706,26.6265275877,26.9428860351,27.270304351,27.2733713984,27.239554127,27.6918608667,27.8424947287,3.87142857143
