,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
0,19.2128027917,19.673325319,20.124552757,20.6409332879,21.2007911564,21.8803042051,22.3965236911,22.8573466362,20.519814889,20.8132378183,21.0573529954,21.3188011153,21.6838285245,22.0546742843,22.289823132,22.4502141234,22.6970963432,22.8035737989,22.9743226686,23.0464949185,0.1
1,21.9971123445,22.4230532907,22.8505093461,23.3472373714,23.8919522308,24.5586268175,25.0677459181,25.5237393453,23.2298086749,23.5140313662,23.7516952764,24.0071044771,24.3651083401,24.7301799472,24.9622094788,25.1206784531,25.3649063094,25.4703148753,25.6395040469,25.7110594002,0.414285714286
2,22.9687357425,23.3584904847,23.7612405613,24.2376833847,24.7668634239,25.4204444023,25.9223565508,26.3734615943,24.1240647953,24.3988218439,24.6298677115,24.8791000681,25.2299396093,25.5891380007,25.8180017467,25.9745225921,26.2160630784,26.3203907234,26.4880033855,26.5589355294,0.728571428571
3,23.5335671439,23.8856036351,24.2627388633,24.7182753006,25.2315327642,25.871766534,26.3663656238,26.812523551,24.6085871063,24.8736159546,25.0978782635,25.3407968569,25.6843320021,26.0375584117,26.2632100185,26.4177566815,26.6565768486,26.7598115707,26.9258309321,26.9961335596,1.04285714286
4,23.9272807431,24.2401478446,24.5907886382,25.0248106573,25.5217624684,26.1483972085,26.6355776496,27.0767298801,24.9191728339,25.174214269,25.3915290023,25.6279980821,25.9640895812,26.3112455991,26.5336388501,26.6861853453,26.9222523126,27.0243821416,27.1887914355,27.2584582466,1.35714285714
5,24.2328768976,24.5052107625,24.8285099152,25.2404241461,25.720692501,26.3334783972,26.8131351718,27.249223296,25.1389561671,25.3837547947,25.5939596657,25.8238448089,26.1523543555,26.4933419873,26.7124308236,26.8629512439,27.096232209,27.1972452104,27.3600276978,27.4290524007,1.67142857143
6,24.4881652256,24.7186937327,25.0138390258,25.4030681275,25.8662810597,26.4649705246,26.9369992424,27.36796504,25.3058887807,25.5401934726,25.7431281464,25.9662964099,26.2870867591,26.6218084832,26.8375470248,26.9860155507,27.2164777996,27.3163620777,27.4775010517,27.5458773644,1.98571428571
7,24.7129152345,24.900460547,25.1666768553,25.5326607322,25.9784526421,26.5628005287,27.0270974801,27.4528829383,25.439887944,25.6634522565,25.8589585612,26.0752786289,26.3882137107,26.7165725354,26.9289151012,27.0753060107,27.3029169282,27.4016606296,27.5611394185,27.6288610698,2.3
8,24.9184107544,25.061890144,25.2984410399,25.6406379009,26.0686500498,26.6384138561,27.0948760649,27.5154233963,25.5523885697,25.7649711306,25.9528932572,26.1622355801,26.4671806099,26.789080129,26.997981257,27.1422689349,27.3669960144,27.4645873309,27.6223893028,27.6894500334,2.61428571429
9,25.1114983891,25.2099235126,25.416112382,25.7339996385,26.1438806037,26.6988206695,27.1473459439,27.5625976044,25.6503894775,25.8517543404,26.0319390302,26.2341759596,26.5309975448,26.8463419915,27.0517564584,27.1939154061,27.4157262594,27.5121534316,27.6682619973,27.7346555615,2.92857142857
10,25.2965230675,25.3489979123,25.5241686034,25.8172436073,26.2086496978,26.7485293912,27.1890163739,27.5989150802,25.7383869974,25.9283039612,26.1006006805,26.2956065937,26.5841728357,26.8928671362,27.0947499769,27.2347548211,27.453617188,27.5488685083,27.7032671256,27.768987292,3.24285714286
11,25.4763367243,25.4820544548,25.6255914921,25.8933721138,26.2659677451,26.7905536404,27.2229018567,27.6273906033,25.8193819679,25.9976268618,26.1618879626,26.3495393811,26.6297199732,26.9316697975,27.1299763239,27.267801826,27.483683584,27.5777473998,27.730419577,27.79546013,3.55714285714
12,25.6528595853,25.6110985209,25.7224269236,25.9644519753,26.3179100023,26.8269720474,27.2510819521,27.6501040282,25.895439614,26.0617945454,26.2178754134,26.398051112,26.6697174328,26.9648292446,27.1595150641,27.2951361288,27.5080053028,27.6008700195,27.7517993188,27.8161540597,3.87142857143
13,25.827409199,25.7375281476,25.8161128931,26.0319424029,26.3659444112,26.8592560843,27.275029107,27.668528113,25.968017442,26.1222710095,26.270030196,26.4426113047,26.7056365061,26.9938176112,27.1848386447,27.3182303289,27.5280551,27.6197091841,27.7688792253,27.8325419737,4.18571428571
14,26.0009017147,25.8623348636,25.907680043,26.0968953881,26.4111319432,26.8884703993,27.2958089879,27.6837288516,26.0381656382,26.1801131077,26.3194124489,26.4842825453,26.738541636,27.0197002284,27.2070127279,27.3381502492,27.5448989637,27.635330946,27.7827254101,27.8456900048,4.5
15,26.1739794657,25.9862310107,25.9978787219,26.1600826297,26.4542534845,26.9153996911,27.3142073533,27.6964923458,26.1066540076,26.2360974538,26.3668021744,26.5238473677,26.7692172912,27.0432624978,27.2268230632,27.3556818079,27.5593229868,27.6485214652,27.7941240977,27.8563843979,4.81428571429
16,26.3470943029,26.1097329709,26.087261995,26.2220784225,26.4958926847,26.9406315457,27.3308128895,27.7074076405,26.1740548748,26.2908032883,26.4127820909,26.561891097,26.7982508045,27.0650927276,27.2448583234,27.3714138548,27.5719162021,27.6598698441,27.8036644586,27.8652143454,5.12857142857
