,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
0,13.2516091062,,,,,,,,,,,,,,,,,,,,0.1
1,20.4530542996,20.2980762196,20.287759226,19.9858965903,19.4585858047,,,,20.0015207004,19.9327036299,19.4767308099,19.5001675273,,,,,,,,,1.81111111111
2,21.9401347872,21.8475458384,21.6250033096,21.5413242232,21.4413353573,20.9245930167,,,21.5542718749,21.5336152533,21.5690130011,21.380889962,21.2653367715,20.6459224645,20.7437558026,,,,,,3.52222222222
3,23.0880079839,22.6636777812,22.536293755,22.4001086502,22.2024104866,22.0809819401,21.8519550613,21.3683381,22.4948540325,22.3039640705,22.1807259558,22.1845458386,22.2540555213,21.9314794296,21.9507855887,21.8354339209,21.3387532219,21.5049751822,,21.3551796984,5.23333333333
4,,23.4498059043,23.1114515148,22.984007625,22.7840807113,22.6660194284,22.532774991,22.3090049153,23.0563155305,22.9947897875,22.894938454,22.7449305156,22.6737420573,22.6812365782,22.6526185999,22.5316836673,22.3502186863,22.391099685,22.2579579326,22.2078323373,6.94444444444
5,,25.0378510851,23.6742934329,23.385566336,23.2948738721,23.0125921145,23.0109106078,22.8461672422,23.5002550109,23.3927015278,23.2876142254,23.3266969761,23.10784114,23.0159932488,22.9908232247,23.0172640952,22.991707602,22.8824649177,22.703563483,22.6320124559,8.65555555556
6,,,24.8024802313,23.7229093442,23.575472869,23.4397569309,23.2444394343,23.2736238584,23.6147495996,23.8126508838,23.5672038696,23.5493438414,23.6040402955,23.3454799094,23.2470711449,23.2759740002,23.2640074631,23.2844301943,23.3208529744,23.2678562652,10.3666666667
7,,,,24.242577766,23.900083548,23.7653452577,23.5235948117,23.4970992518,24.7441999923,23.8042648462,24.0601082091,23.7512987839,23.7075023101,23.7494642168,23.6002135252,23.463593712,23.5070458303,23.4667249753,23.4919482847,23.4975364831,12.0777777778
8,,,,25.1882549645,24.1202019328,24.009129929,23.8748513509,23.675181164,25.5623240091,24.9601572856,24.0850154493,24.2412204878,24.0802064719,23.9949262976,23.9550211735,23.8188680705,23.6604552005,23.6506102314,23.6949210519,23.6576243211,13.7888888889
9,,,,,24.5150258083,24.1796741902,24.1288647908,23.8941467865,,25.3823192523,25.0617045197,24.1364531336,24.1352614803,24.1641577419,24.1644608686,24.16344206,23.9783070477,23.9554564651,23.7086428356,23.8304334161,15.5
