,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
0,19.2128027917,19.673325319,20.124552757,20.6409332879,21.2007911564,21.8803042051,22.3965236911,22.8573466362,20.519814889,20.8132378183,21.0573529954,21.3188011153,21.6838285245,22.0546742843,22.289823132,22.4502141234,22.6970963432,22.8035737989,22.9743226686,23.0464949185,0.1
1,24.3511054836,24.6050106758,24.915895114,25.3177973432,25.7905310653,26.3970823071,26.8733616827,27.3071803931,25.2182208049,25.4583861955,25.6653795383,25.892295721,26.2173913898,26.5556061832,26.7732116525,26.9228233018,27.1548555372,27.25536835,27.4174224476,27.486159752,1.81111111111
2,25.4565489336,25.4674990566,25.6145800757,25.885194345,26.2598963396,26.7861929695,27.2194504264,27.6245430857,25.8106579533,25.9902106208,26.1553717663,26.3438463794,26.6249650937,26.9276689382,27.1263750307,27.2644439238,27.4806584424,27.5748547768,27.7277195935,27.7928359655,3.52222222222
3,26.4048653896,26.1508809591,26.1169496111,26.2425569512,26.5095226758,26.9487453194,27.3360302212,27.7107159847,26.1963578443,26.30883334,26.4278749384,26.5743142793,26.8076440385,27.0720650644,27.2505561721,27.3763385671,27.5757877154,27.6633239062,27.8065122633,27.8678239896,5.23333333333
4,27.3593684836,26.8295962696,26.6034315971,26.5736882926,26.7246760681,27.0706165726,27.4091490644,27.7518025374,26.558823392,26.5988386755,26.6680136796,26.76922898,26.9512683392,27.1747849026,27.3318015718,27.4445810056,27.6263453175,27.706888542,27.8399237171,27.897250402,6.94444444444
5,28.3405165192,27.530912811,27.1059726126,26.913639139,26.9419443305,27.1890924111,27.4762946496,27.7853585661,26.9327605976,26.8960482271,26.9122009161,26.9654567569,27.0930675233,27.2732413911,27.4075935557,27.5066874316,27.6698828479,27.7431135265,27.8655321358,27.9186976734,8.65555555556
6,29.3470461334,28.2571484999,27.6300887318,27.2704654109,27.170845864,27.3144253065,27.5479434617,27.8219392501,27.3258826732,27.209205609,27.1697643077,27.1727886027,27.2432229491,27.3778224644,27.4883997364,27.5731647057,27.7169487201,27.7825625924,27.8939171691,27.9427506288,10.3666666667
7,30.3743087729,29.0053300387,28.1747995424,27.6450962622,27.4136031499,27.4495644769,27.6272814682,27.8648175192,27.738809359,27.5398072993,27.4427350141,27.3936979802,27.4046021859,27.4916153164,27.5773941563,27.6472301876,27.770806798,27.8285166352,27.9283778602,27.9727142691,12.0777777778
8,31.417896222,29.7717291732,28.7375358896,28.0363097456,27.6700755759,27.5950555713,27.7150951879,27.9148727672,28.1700578887,27.887070777,27.7307919307,27.6282638788,27.5776630442,27.6153010627,27.6753488704,27.7297019817,27.832325391,27.8818623242,27.9698208763,28.0095018885,13.7888888889
9,32.4742619543,30.5529942771,29.315580594,28.4422923587,27.939314886,27.7505742462,27.811297802,27.972114665,28.6176054976,28.2495054544,28.032824344,27.875722023,27.7619910913,27.7486842487,27.782160601,27.8205243034,27.9015013727,27.9426158314,28.0182838431,28.0531582887,15.5
